ID,Start_time,End_time,English,Español,Gloss
35,66161,68292,pursued by the swarm,El perro está sacudiéndose con el frasco en la cabeza,PERRO B:MIRAR(MP) cl.e(C):FRASCO-en-cabeza 
36,68292,68835,"The boy is running ""Ahh!""",mirando desde dentro del frasco,MIRAR cl.e(C):FRASCO-en-cabeza 
37,68835,69434,The owl flies over him,hasta que, cl.e(C):FRASCO-en-cabeza 
38,69434,72580,The boy escapes,cae de cabeza por la ventana,cl.e(2d):PERRO-caer+de-ventana cl.e(Bh):VENTANA 
39,72580,73429,and the owl pursues him,y el frasco estalla, cl.d(A&amp;gt;5h):frasco-estallar 
40,73429,74127,Hmm...,El frasco impacta, cl.e(5d):FRASCO-descender 
41,74127,74570,on the way he comes across a rock.,y estalla en añicos, cl.d(A&amp;gt;5):frasco-estallar 
42,74570,76493,The boy climbs on the rock,El perro sale rodando,cl.e(2d):PERRO-en-localización cl.e(Bh):LOCALIZACIÓN PERRO B:cl.e(Bh):LOCALIZACIÓN cl.e(2d):PERRO-rodar-localización B:cl.e(Bh):LOCALIZACIÓN 
43,76493,77372,The owl flies away,El niño (sigue) mirando (a su alrededor), MIRAR(MP) 
44,77372,77985,to a perch on a tree branch,cuando de repente ve al perro, B:MIRAR(MP) 
45,77985,80096,The boy climbs on the rock,lo coge en sus brazos, cl.m(Bd):coger-perro 
46,80096,82394,Looks from one side to another,y lo acaricia,cl.m(Bd):sostener-perro ACARICIAR 
47,83058,86049,and sees something down,Los dos empiezan a recorrer el lugar,cl.e(1):PERSONA-desplazarse-con+perro cl.e(2d):PERRO-desplazarse-con+persona 
48,86049,86512,It is a deer,Ven algo que los hace parar,B:cl.e(1):PERSONA-desplazarse-con+perro B:cl.e(2d):PERRO-desplazarse-con+persona 
49,86512,89919,which looks at him in the eyes,Delante (de ellos se extendía) un bosque, MIRAR(MP) BOSQUE 
50,89919,92185,with the deer gazing at him the boy is scared and leaps,En uno de los árboles hay una colmena,INDX ÁRBOL(1M) cl.d(Qd&amp;gt;Q):colmena-en-árbol cl.e(5):ÁRBOL 
51,92185,95013,falls on the head of the deer,con abejas revoloteando,ABEJA B:cl.e(5):ÁRBOL cl.e(Lc):INSECTO-volar-árbol B:cl.e(5):ÁRBOL 
52,95013,95975,The deer puzzled with the stowaway starts to move its head,(El niño) advirtie la colmena,MIRAR B:cl.e(5):ÁRBOL 
53,95975,96865,and to gallop with the boy on its head,El perro corre hacia el árbol,PERRO B:cl.e(5):ÁRBOL cl.e(Hd):PERRO-aproximarse-árbol B:cl.e(5):ÁRBOL 
54,96865,97433,The boy dangles between the deer’s horns during the gallop,se yergue hacia la colmena,cl.e(Hd):PERRO-levantarse+hacia-árbol B:cl.e(5):ÁRBOL 
55,97433,97883,The deer gallops,la olisquea,RESPIRAR B:cl.e(5):ÁRBOL 
56,97883,98893,and gallops with the boy bouncing about,se acerca dando saltos,cl.e(Hd):PERRO-saltar+hacia-árbol B:cl.e(5):ÁRBOL 
57,98893,99571,They run to the bottom of a slope,al lugar en el que están las abejas,cl.e(Lc):INSECTO-volar B:cl.e(5):ÁRBOL 
58,99571,101134,where the deer stops suddenly.,que salen de la colmena, cl.e(Lc):INSECTOS-volar 
59,101134,102510,The boy falls off the stag’s back into a river,El perro se pone a cuatro patas,cl.e(Hd):PERRO-girarse+hacia-árbol cl.e(5):ÁRBOL 
60,102510,103583,creating a surface wave in the water,y sale huyendo,cl.e(Hd):PERRO-alejarse-árbol B:cl.e(5):ÁRBOL 
61,103583,106410,The dog also falls into the water,perseguido por un enjambre de abejas,cl.e(Hd):PERRO-huir-abejas cl.e(Lc):ABEJAS-seguir-perro 
62,106410,110788,The boy continues to look around,El niño ve (a lo lejos) un búho.,HOMBRE MIRAR BÚHO^VOLAR 
63,110788,112068,He is in the middle of the river,El búho planea hacia el niño, cl.e(55):AVE-volar 
64,112068,114512,On  his left he sees a trunk,y el niño huye corriendo,cl.e(1):PERSONA-desplazarse cl.c(B):garras-correr CORRER B:CORRER cl.e(1):PERSONA-correr 
65,114512,115474,stares ,A cierta distancia el perro también corre,PERRO B:cl.e(1):PERSONA-correr cl.e(Hd):PERRO-correr-persona+detrás cl.e(1):PERSONA-correr-perro+delante 
66,115474,116474,"""Quiet"" he shouts to the dog",perseguido por el enjambre,cl.e(Hd):PERRO-huir-abejas cl.e(Lc):INSECTOS-seguir-perro 
67,116474,117151,The dog is behind him // both stare for a while.,"El niño corre ""¡Ahh!""",B:cl.e(Hd):PERRO-huir-abejas cl.e(1):PERSONA-correr 
68,117151,119302,The dog looks at him from below without moving,El búho vuela encima de él, cl.e(55):AVE-volar B:cl.e(55):AVE-volar cl.e(1):AVE-localización VOLAR 
69,119302,120255,"The boy from above: ""Don't make noise""",El niño escapa,cl.e(1):PERSONA-correr 
70,120255,120936,"""Let's go.""",y el búho lo persigue, cl.e(55):AVE-volar 
71,120936,122073,"""to that tree trunk""",[Mmm...],G.ADA 
72,122073,123520,The dog begins to walk towards the trunk,(En su camino se encuentran con) una roca., PIEDRA cl.e(5d):PIEDRA 
73,123520,125770, the dog stealthily,El niño se sube a la roca,cl.e(5d):PIEDRA cl.e(1):PERSONA-ascender+a-piedra 
74,125770,127383,approaches the boy ,El búho va volando, cl.e(55):AVE-volar 
75,127383,130035,The trunk is near now,hasta posarse en la rama de un árbol,cl.e(2d):AVE-posarse-árbol cl.e(5):ÁRBOL 
76,130035,132196,The boy looks at the trunk,El niño se sube a la roca,HOMBRE B:cl.e(5):ÁRBOL cl.e(5d):PIEDRA B:cl.e(5):ÁRBOL B:cl.e(5d):PIEDRA cl.e(2d):PERSONA-ascender+a-piedra 
77,132196,134075,The dog also looks at the trunk,mira (de lado a lado),MIRAR 
78,134075,135928,down below is the frog surprised to see them,y (hacia abajo) ve (algo),MIRAR 
79,135928,136716,The boy looks surprised at the frog which in turn looks at him.,(Es un) ciervo, CIERVO 
80,136716,137411,Next to the frog,que le mira a los ojos,MIRAR 
81,137411,138911,is a row of frogs,Al ser mirado (por el ciervo) el niño asusta (y da un salto),B:MIRAR ASUSTAR(2M) 
82,138911,140146,and next to it their progeny in a row,Cae sobre la cabeza del ciervo,cl.e(2b):PERSONA-caer-ciervo 
83,140146,143218,The boy and dog are looking astonished at the frog.,El ciervo (desconcertado con el polizón) empieza a mover la cabeza, CIERVO cl.e(2b):PERSONA-sobre-cabeza+ciervo B:CIERVO 
84,143218,145473,with a wide smile,y a galopar con el niño en la cabeza,cl.e(2b):PERSONA-sobre-ciervo cl.e(Hd):CIERVO-correr 
85,145473,146974,The frogs are on top of the trunk in a row from largest to the smallest,El niño va a trompicones entre las astas del ciervo durante el galope, CIERVO cl.e(2b):PERSONA-sobre-cabeza+ciervo B:CIERVO 
86,146974,149640,The boy extends his hand,El ciervo galopa, cl.c(A):pezuñas-correr 
87,149640,151470,One frog climbs into his hand,galopa con el niño encima dando botes,cl.e(2b):PERSONA-sobre-ciervo cl.e(Hd):CIERVO-correr 
88,151470,153916,It hesitates but stays on his hand,Van corriendo hasta el fondo de un talud,cl.e(2b):PERSONA-sobre-ciervo cl.e(Hd):CIERVO-correr cl.d(5d):talud cl.d(2d):talud cl.e(2b):PERSONA-sobre-ciervo cl.e(Hd):CIERVO-correr 
89,153916,155488,The boy starts to walk with the frog in his hand,(donde) el ciervo frena, cl.c(A):pezuñas-frenar 
90,155488,162183,The dog walks at their side,El niño cae del lomo del ciervo a un río,cl.e(2b):PERSONA-caer+de-ciervo cl.e(Hd):CIERVO-arrodillado CAMINO AGUA B:CAMINO cl.e(2b):PERSONA-caer-charco cl.e(Xa):CHARCO 
91,162183,164062,The two of them walk,creando una onda superficial en el agua, SALPICAR cl.e(Xa):ONDA-abrirse 
92,164062,166837,into the distance.,El perro (también) cae al agua,PERRO B:cl.e(Xa):ONDA-abrirse cl.e(2b):PERRO-caer-charco B:cl.e(Xa):ONDA-abrirse cl.d(5d):poza-agua 
93,166837,169691,[Applause],(El niño) mira a su alrededor,INDX G:asomarse MIRAR 
1,71,3880,"""The three pigs and the wolf"".","""Los tres cerdos y el lobo"".", TÍTULO TRES CERDO OTRO UNO LOBO 
2,3975,5090,I’m going to tell (this story).,Voy a contar.,INDX.PRO:1sg EXPLICAR 
3,6677,8262,(There are) three pigs,(Hay) tres cerdos,TRES HERMANO- CERDO TRES 
4,8331,10866,The two... three of them are siblings.,los dos... los tres (son) hermanos.,LOS-DOS LOS-TRES TAMBIÉN HERMANO LOS-TRES 
5,10996,12851,Each one has a different character.,Cada uno (tiene) un carácter diferente.,CADA-UNO TIPO DIFERENTE 
6,13460,15825,The first loves to play,Al primero le encanta jugar,INDX:primero B.L(1) ENCANTAR JUGAR(CT) 
7,15892,17130,The second also (likes) playing,al segundo también (le gusta) jugar,INDX:segundo B.L(2) TAMBIÉN B.L(2) JUGAR 
8,17269,18637,and the third is serious,y el tercero (es) serio,INDX:tercero B.L(3) UNO B.L(3) TRISTE B.L(3) 
9,18654,20194,focused on work.,centrado en trabajar., MENTE^CONCENTRAR TRABAJAR G(B):vale B:TRABAJAR 
10,20321,21386,Let me explain.,Explico.,INDX.PRO:1sg EXPLICAR 
11,21581,23761,Another (personality is) the wolf which wants to eat (them),Otro (personaje es) un lobo que quiere comer(los),OTRO LOBO LOBO MENTE^OBJETIVO MENTE^OBJETIVO COMER 
12,23791,24391,eat them,comerlos,MORDER 
13,24431,26681,It wants to eat the three pigs all three of them.,quiere comer a los tres cerdos a todos quiere (comer).,QUERER TRES CERDO COMER TODO QUERER G(B):vale 
14,27206,28588,I am going to explain.,Empiezo a explicar., EMPEZAR INDX EXPLICAR 
15,28863,30658,A person... No sorry.,Una persona... No perdón.,UNO PERSONA PERDÓN 
16,30784,37048,A pig is building what? a house how do he does that? with bundles of straw.,Un cerdo (está) haciendo (¿qué?) una casa( ¿cómo la hacía?) con manojos de paja.,UNO CERDO SECCIÓN(1M) ARREGLAR OBJETIVO CUÁL CASA CÓMO LIGERO MADERA PALO 
17,37099,37659,It is working (fast),Trabaja (rápido), ARREGLAR 
18,37672,40428,to finish the house quickly.,para acabar la casa rápidamente., PORQUE RÁPIDO INSTANTE CASA(M-AB) YA B:CASA(M-AB) 
19,41125,41971,(The pig) has just finished,(El cerdo) acaba la obra,INDX ARREGLAR LISTO 
20,42024,42761,and leaves/goes.,(y) sale/va.,INDX CAMINAR 
21,42791,43429,The pig calls:,El cerdo llama:,CERDO LLAMAR 
22,43448,44850,"""Look brother I won ","""Mira hermano (soy) el primero ",VER HERMANO PRIMERO B:HERMANO 
23,44859,46237,"The house of straw bundles is already finished.""","la casa de manojos (de paja) ya (está) acabada.""", CASA PALO YA LISTO 
24,46354,47051,The brother is surprised: Oh! ,"(El hermano se sorprende:) ""Oh!"" ",HOMBRE- (CNM) 
25,47176,50871,Another pig the second one is also working (on a house) a wooden house.,Otro cerdo el segundo también trabaja (en una casa) de madera.,OTRO CERDO B.L(2) INDX:segundo TAMBIÉN ARREGLAR CÓMO MADERA 
26,50918,53198,And works quite a bit.,Trabaja bastante., ARREGLAR SECCIÓN- B:ARREGLAR BASTANTE B:ARREGLAR ARREGLAR 
27,53222,54421,The house is finished.,La casa (está) acabada.,YA CASA LISTO 
28,54455,55689,"""Look the two (houses have been built) the same"" (said the pig with the wooden house).","""Mira las dos (casas han sido hechas) igual"" (dijo el cerdo de la casa de madera).",VER B:LISTO LOS-DOS B:LISTO IGUAL VER LISTO 
29,55719,58252,Let’s see how  the third and final pig (is building its) house.,A ver cómo (está haciendo) la casa el tercer y último cerdo.,VER ÚLTIMO B.L(3) INDX:tercero INDX CÓMO CASA CÓMO 
30,58256,59002,(It is making it) with bricks,(Está haciéndola) de ladrillos, CONSTRUIR 
31,59145,61420,It is taking a long time (to build the house).,(está) tardando mucho tiempo (en hacer la casa).,G(5):mucho G:mucho HORA DURAR 
32,61472,62349,"""Brother","""Hermano",INDX LLAMAR INDX 
33,62373,63743,"You are working (very hard)"" said the pig.","(estás) trabajando (muy duro)"" (le dijo el cerdo).", G:demasiado TRABAJAR 
34,63981,65406,"The pig (responds): ""I know I know.","El cerdo (le responde): ""Lo sé lo sé.",HOMBRE- CERDO SABER INDX 
35,65442,66451,"Stop it will be safe"".","tranquilo así (es) segura.""", TRANQUILO ES.ASÍ(1M) B:TRANQUILO ES.SEGURO 
36,66501,67841,He (continues) working,(Y sigue) trabajando., CONSTRUIR 
37,67881,69849,The two (siblings) continue talking,Los dos (hermanos) prosiguen hablando,LOS-DOS CÓMO CONTINUAR CONTACTO 
38,69862,70841,and playing.,y jugando., JUGAR 
39,71027,71298,And as they move away,Al alejarse,ALEJARSE 
40,71301,73256,by chance the wolf hears them.,por casualidad el lobo les oye.,CASUAL LOBO ESCUCHAR 
41,73295,73770,(The wolf) comes nearer (quietly),(El lobo) se acerca (sigilosamente), cl.c(1):PATAS-andar 
42,73783,75604,It sees them,los ve,INDX.PRO:1sg B:cl.c(1):PATAS-andar MIRAR B:cl.c(1):PATAS-andar 
43,75632,75955,It prepares itself:,se prepara:, PREPARAR 
44,75967,76382,to take a step,da un paso, cl.c(B):pies-andar 
45,76400,77217,(but) makes noise,(pero) hace ruido, SONIDO(2M) 
46,77254,79459,and the two (pigs) the same ones as before which were playing hear (the noise).,(y) los dos (cerdos) los mismos de antes que (estaban) jugando lo oyen.,DOS MISMO LO-DE-ANTES DOS JUGAR(CT) ESCUCHAR(2M) 
47,79469,79917,"""Warning!: ","""¡Aviso: ",G B:ESCUCHAR(2M) AVISAR B:ESCUCHAR(2M) 
48,79922,80593,the wolf is here,está aquí el lobo,INDX B:ESCUCHAR(2M) HABER B:ESCUCHAR(2M) PERRO B:ESCUCHAR(2M) 
49,80603,81522," The wolf comes!"" (the pigs scream)."," viene el lobo!"" (gritan los cerdos).",VENIR B:ESCUCHAR(2M) LOBO YA 
50,81531,82035,They escape each running away on its own,Se van (corriendo cada uno por su lado), ALEJARSE(2Msu) 
51,82052,82788,They escape each running away on its own,los dos se van (corriendo cada uno por su lado),DOS B:ALEJARSE(2Msu) ALEJARSE(2M) 
52,82793,86168,(One) to the house of b... bundles of straw and enters,(uno) a la casa de m... manojos de paja entra, OBJETIVO CASA MADERA PALO DENTRO YA 
53,86247,88255,another enters the wooden house,otro entra en la casa de madera,OTRO CASA MADERA DENTRO 
54,88280,90246,and the third in the one built with bricks enters (also at home).,y el otro (el que estaba) construía con ladrillos entra (también en su casa).,OTRO CONSTRUIR LISTO AHORA DENTRO 
55,90311,91945,The wolf approaches quietly,El lobo se acerca,INDX LOBO cl.c(1):PATAS-andar 
56,91960,93401,"""Hello"" (says joker).","""Hola""( dice guasón).", G:mímica-lobo SALUDO 
57,93809,95654,One of the (terrified) pigs look out the window.,Uno de los cerdos mira (aterrorizado) por la ventana.,INDX CERDO UNO VENTANA cl.m(A):apoyarse-ventana 
58,95668,97666,"""Hey the wolf is coming"" (it thought).","""Uf viene el lobo""( piensa).",VENIR B:cl.m(A):apoyarse-ventana LOBO(1M) B:cl.m(A):apoyarse-ventana INTENSO B:cl.m(A):apoyarse-ventana 
59,97739,98526,and warns:,advierte:,AVISAR 
60,98548,100646,I will huff 'n puff with ease,"""Soplaré y con facilidad",FÁCIL LOBO SOPLAR 
61,100686,101548,"and bring (your) house down"".","volaré (tu) casa"".", cl.e:CASA-desintegrarse 
62,101825,102631,"""No (I don’t think so"" says) the pig.","""No (creo)"" (le dice) el cerdo.",CERDO (CNM) 
63,102662,103359,"""Yes yes"" (answers the wolf convincingly.)","""Sí sí"" (responde convencido el lobo).", (CNM) 
64,103375,104279,(The wolf) gets ready,(El lobo) se prepara:,AHORA MÁS-O-MENOS PREPARAR(1M) 
65,104294,105795,The wolf moves back.,el lobo retrocede., LOBO cl.c(1):PATAS-retroceder 
66,106034,106992,"""the house is there"" (it calculates).","""Ahí (está) la casa"" (calcula el lobo).",INDX cl.e:CASA 
67,107008,107869,(The wolf) takes a deep breath,(El lobo) respira (profundamente),RESPIRAR 
68,107880,108856,(and after) filling its chest (with air),(y un vez que) llena el pecho (de aire), cl.d(5d):pecho-hinchar 
69,108949,109787,blows (strongly).,sopla (intensamente).,SOPLAR 
70,109817,110928,The house is shaken.,La casa se tambalea., cl.e:CASA-moverse 
71,111122,113183,The pig watches in desperation,El cerdo lo presencia (desesperado),CERDO cl.m(5):vibrar-ventana 
72,113371,114075,The bales of hay are thrown about,los manojos (empiezan a) salir despedidos, cl.e(1):PALOS-ascender 
73,114160,115283,and the house is torn down.,(y) la casa se despedaza., cl.e:CASA-desintegrarse 
74,115428,117591,stunned the pig flees,(Atónito) el cerdo huye, G(5):desesperación cl.e(2b):PERSONA-sobre-suelo cl.e(Bh):SUELO cl.e(A&amp;gt;5):POLVAREDA-alejarse-suelo B:cl.e(Bh):SUELO 
75,117650,118039,and runs to,(y) corriendo, cl.c(1):PATAS-correr 
76,118165,120092,the wooden house,va a la casa de madera, OBJETIVO IR MADERA CASA 
77,120128,121472,where its brother had entered.,en la que (su) hermano (ya había) entrado.,LO-DE-ANTES HERMANO INDX DENTRO 
78,121537,122174,(Pig) enters.,(El cerdito) entra., DENTRO YA 
79,122215,122531,"""Brother","""Hermano",AVISAR 
80,122544,123724,My house has been blown down,mi casa se ha roto,INDX.PRO:1sg PROPIO CASA ROMPER 
81,123777,124257,down,ha volado, cl.e:CASA-desintegrarse 
82,124296,125259,by the wolf.,por el soplido del lobo.,MOTIVO LOBO SOPLAR 
83,125292,128384,"""Blown down? Really?"" (it asked the brother puzzled).","""¿Por un soplido? ¿En serio?"" (Le pregunta extrañado) el hermano.", HERMANO B:HERMANO SOPLAR(2M) MIRA-TÚ 
84,128479,129525,"""Yes now it is coming (to your house)"".","""Sí ahora le toca (a esta casa).""", (CNM) AHORA TURNO 
85,129544,130415,The (brother): Relax,"El (hermano): ""Tranquilo",INDX TRANQUILO 
86,130422,131284,One can hardly (pull down) a wooden house,difícilmente (podrá tirar) una casa de madera, MADERA DIFÍCIL 
87,131311,132620," It is solid""."," es sólida.""", CASA FUERTE 
88,132936,133967,The (wolf) moves back.,El (lobo) continúa,INDX CONTINUAR 
89,134013,134687,The wolf continues.,el lobo continúa., LOBO CONTINUAR 
90,134725,135302,It walks (tracking the area).,Camina (rastreando la zona)., cl.c(1):PATAS-andar 
91,135417,135619,"""There","""Ahí",MIRAR 
92,135623,136579,There is a wooden house,hay una casa de madera, HABER CASA MADERA 
93,136631,137848,"There is the second house"" thought the wolf.","ahí (está) la segunda casa"" (pensó el lobo).",MIRAR B.L(2) INDX:segundo INDX B:INDX:segundo cl.e:CASA 
94,137884,138544,It goes near (the house),Se acerca (a la casa),AHORA cl.c(1):PATAS-andar 
95,138572,139119,(and jokingly says): Hello!,"(y dice burlesco:) ""Hola"".",SALUDO 
96,139186,141551,The two (terrified) pigs look out the window.,Los dos cerdos miraban (espantados) por la ventana, VENTANA LOS-DOS CERDO cl.m(5):apoyarse-ventana 
97,141570,142329,They look at each other,se miran mutuamente., MIRAR(2M) 
98,142329,142780,,, MIRAR(2M) 
99,142970,143631,"""Wait"" (said) the wolf to them.","""Esperad"" (les dice el lobo.", LOBO ESPERAR2 
100,143639,144458,(The wolf) moves back.,(El lobo) retrocede, cl.c(1):PATAS-retroceder 
101,144473,144904,It is prepared,(está) preparado, PREPARAR 
102,144951,145827,breathes (deeply),respira (profundamente),RESPIRAR 
103,145841,146589,(until) its lungs are full (of air),(hasta) llenar el pecho (de aire), cl.d(5):pecho-hinchar 
104,146601,146823,and blows (the air) out,(y) descarga (el aire), cl.d(5):pecho-deshinchar 
105,146833,147281,blows.,sopla., SOPLAR(2M) 
106,147314,148278,The house is shaken.,La casa se tambalea.,cl.e:CASA-moverse 
107,148313,149641,"""Almost.. Its tough tough","""Cas.. Cuesta cuesta", CASA- COSTAR COSTAR 
108,149676,150255,I have blown,he soplado,SOPLAR 
109,150303,151274,"and it has (only) been shaken"" (thought the wolf).","(y sólo) se ha tambaleado""( pensó el lobo).", cl.e:CASA-moverse 
110,151293,152809,I will do it a second time.,Lo haré unha segunda vez., OTRA-VEZ B.L(2) INDX:segundo 
111,152840,154463,(The wolf) takes a (deep) breath,(El lobo) respira (profundamente),RESPIRAR- DOBLE cl.d(5&amp;gt;5d):aire-respirar 
112,154515,155114,(and after) filling its lungs (with air),(y un vez que) llena el pecho (de aire), cl.d:pecho-hinchar 
113,155161,155690,blows (strongly).,sopla (intensamente)., SOPLAR(2M) 
114,155711,156062,The house is shaken.,La casa se tambalea, cl.e:CASA-moverse 
115,156069,156672,until it breaks apart.,hasta despedazarse., cl.e:CASA-desintegrarse 
116,156694,157491,The wooden poles fly off.,Los palos de madera salen volando., MADERA cl.e(1):PALOS-ascender 
117,157512,159058,The two pigs (witness) that the house is breaking apart,Los dos cerdos (presencian desconcertados que la casa) se deshace,DOS CERDO cl.e(1):PALOS-ascender 
118,159098,159543,(until there stands) an empty space.,(hasta quedar el espacio) vacío., VACÍO 
119,159751,160663,(The two pigs desperately) run,(Los dos cerdos desesperados) corren, G(5):desesperación CORRER(5) 
120,160680,161629,and flee.,(y) huyen.,cl.e(2):PERSONAS2-alejarse-suelo cl.e(Bh):SUELO 
121,161836,162871,The wolf (stays) calm:,El lobo (está) tranquilo:, LOBO TRANQUILO 
122,162954,164263,"""Now for the last and third house (to fall) for sure.","""Ahora la última y tercera casa seguro (que cae) ",AHORA ÚLTIMO B.L(3) INDX:tercero ES.SEGURO(1M) B:INDX 
123,164272,165178,"The one made with bricks"".","esa de ladrillos"".",INDX CONSTRUIR MIRAR 
124,165187,166270,The two (pigs) enter (the third house).,Los dos (cerdos) entran (en la tercera casa).,LOS-DOS DENTRO 
125,166510,167047,"""Brother brother!""","""¡Hermano hermano!""",AVISAR AVISAR 
126,167073,168099,"(The brother who was) building: ""What?""","(El hermano que estaba) construyendo: ""¿Qué?""", CONSTRUIR QUÉ 
127,168376,168973,"""Brother","""Hermano",AVISAR 
128,169008,169513,Look.,mira,VER 
129,169579,173253,"The two houses of your two brothers his and mine have disappeared"" (they say nervously).","se han esfumado las dos casas de los dos hermanos la suya y la segunda la mía"" (le dice nervioso el cerdito).", HERMANO DOS INDX SEGUNDO PROPIO LOS-DOS HERMANO CASA DESAPARECER 
130,173332,174818,"because the wolf has blown"" (them said the pig nervously).","porque el lobo les ha soplado"" (dijo nervioso el  cerdo).", PORQUE LOBO SOPLAR(2M) 
131,175397,176341,"The third (brother): ""I know","El tercer (hermano: ""Ya) sé",hhh B.L(3) INDX:tercero SABER 
132,176355,178543,Calm down this  house is impossible (to break),(pero) tranquilos aquí (es) imposible, TRANQUILO INDX IMPOSIBLE(M-RE) 
133,178594,179975,"The construction is solid"" (said the third pig).","la construcción es sólida"" (dijo el tercer cerdo).", CONSTRUIR PIEDRA 
134,180215,181928,"""Are you sure?"" (asked) the brother.","""¿(Estás) seguro?""( le pregunta) el hermano.",INDX HERMANO ES.SEGURO(1M) 
135,181978,182801,"""Do you know why?","""¿Tú sabes por qué?",MOTIVO INDX.PRO:2sg SABER 
136,182835,184777,I have worked for very long on this house,he trabajado durante tanto tiempo en (esta) construcción?,INDX.PRO:1sg TRABAJAR HORA CONSTRUIR 
137,184825,185599,to (make the house) safe.,Para que (la casa sea) segura.,MOTIVO ES.SEGURO 
138,185647,186303,Now it is finished,Ahora (está) acabada,AHORA LISTO 
139,186331,187706,"Well almost finished"" (says the third pig).","(está) casí acabada la casa""( replica el tercer cerdo).",CASI cl.e:CASA LISTO 
140,188444,190388,You (built) yours too fast - the two brothers- ,Por (ser) tan rápidos -los dos hermanos- ,MOTIVO INDX LOS-DOS HERMANO RÁPIDO 
141,190403,191936,That is why (your homes are) weak.,por (eso sus casas son) débiles.,MOTIVO DÉBIL 
142,192019,193376,"The two brothers (stay) silent: ""Aha","Los dos hermanos (se quedan) en silencio: ""Ajá",LOS-DOS HERMANO SILENCIO MIRA-TÚ 
143,193425,193951,Are you sure?,¿(estás) seguro?,ES.SEGURO(1M) 
144,194034,194547,"(The wolf) is coming!""",Viene (el lobo),AHORA VENIR 
145,194562,195023,"(The wolf) is coming!""","viene (el lobo).""",AHORA VENIR 
146,195048,195856,The wolf comes nearer (quietly),El lobo se acerca,LOBO(1M) cl.c(B):pies-andar cl.c(B):pies-anda 
147,195885,196800,"""There is the house","""(Ahí está) la casa",VER CASA 
148,196832,197555,How beautiful!,qué bonita,BONITO B:CASA 
149,197576,198482,"It is a strong house"" (thought the wolf).","es una casa robusta""( piensa el lobo).", CASA(M-AB) DURO2 
150,198816,199433,It approaches (the house),Va (a la casa), cl.c(1):PATAS-andar 
151,199447,199890,"""Hello” (says the wolf mockingly).","""hola""(se mofa el lobo.)",SALUDO 
152,199933,201296,The three pigs approach the window.,Los tres cerdos se aproximan a la ventana., VENTANA cl.e(3):PERSONAS3-aproximarse B:VENTANA 
153,201340,203538,The two brothers are trembling with fear,Los dos hermanos tiemblan de miedo,DOS HERMANO G(1d):miedo cl.c(1):PATAS-temblar MIEDO cl.c(1):PATAS-temblar 
154,203555,204463,They both look at (the third brother).,miran (al tercer hermano) los dos., MIRAR(2M) DOS 
155,204485,206283,"The last brother the third one says: ""Relax"".","El último hermano el tercero: ""Tranquilos.""", HERMANO ÚLTIMO(1M) B:HERMANO B.L(3) INDX:tercero TRANQUILO 
156,206305,207625,Look through the window,Mira por la ventana impasible.,CARA B:TRANQUILO TRANQUILO MIRAR G:esperar 
157,207870,208907,"""I’m going to prepare myself wait"".","""(Me voy a) preparar esperad.""",AHORA PREPARAR(1M) AHORA cl.c(1):PATAS ESPERAR2 B:cl.c(1):PATAS 
158,208933,210014,The wolf moves back.,El lobo retrocede, LOBO cl.c(1):PATAS-retroceder 
159,210117,210745,It is ready,(ya está) preparado.,AHORA B:cl.c(1):PATAS-retroceder PREPARAR(1M) B:cl.c(1):PATAS-retroceder 
160,210770,211587,(The wolf) fills its lungs (with air),(El lobo) llena el pecho (de aire), cl.d(5):pecho-hinchar 
161,211613,212169,and blows.,y sopla., SOPLAR(2M) 
162,212215,212677,The house does not move,La casa no se mueve, cl.e:CASA 
163,212684,213032,It is solid.,es sólida,DURO B:cl.e:CASA 
164,213042,213247,and does not move.,y no se mueve.,cl.e:CASA B:cl.e:CASA 
165,213259,214580,There is no movement inside the house,(En) la casa (no hay) ningún movimiento,MISMO B:cl.e:CASA INDX B:cl.e:CASA cl.e:CASA-moverse NINGUNO 
166,214649,215223,It stays upright.,(permanece) estable., cl.e:CASA 
167,215610,216567,"""I don't understand","""No lo entiendo", LOBO MENTE^APAGAR 
168,216619,217443,"I('ll try) again"" (thinks the wolf).","(lo intentaré) otra vez"" (piensa el lobo).", OTRA-VEZ 
169,217448,218631,(The wolf) moves back.,(El lobo) retrocede, G:respirar cl.c(1):PATAS-retroceder 
170,218665,219418,breathes twice,respira el doble,RESPIRAR DOBLE 
171,219452,220180,until the lungs are full of air,llena el pecho de aire, cl.d(5):pecho-hinchar 
172,220231,220405,and blows.,(y) sopla, SOPLAR(2M) 
173,220422,220725,The mass of air impinges on the house.,la masa de aire incide sobre la casa., cl.d(5):aire-contra-casa 
174,220733,221216,(The wolf) continues blowing,(El lobo) sopla,cl.d(5):flujo-aire cl.d(5):suelo 
175,221265,222047,(but) the house (just) vibrates,(pero) la casa (apenas) vibra, cl.e:CASA-moverse 
176,222057,223315, Nothing (happens), no (pasa nada)., cl.e:CASA 
177,223533,224553,"""I'll try for the third time"" (thinks) the wolf.","""Soplaré por tercera vez""(piensa) el lobo.", LOBO B.L(3) INDX:tercero 
178,224596,225283,It breathes in once more,Una vez más respira, OTRA-VEZ RESPIRAR 
179,225402,226039,and blows.,sopla,SOPLAR 
180,226059,227233,It turns red from the effort,se pone rojo del esfuerzo, INTENTAR ROJO B:INTENTAR RUBOR B:INTENTAR 
