English	Gloss
The sock (is) halfway (up to) the shin bone.	CALCETÍN2 cl.d(Bl):calcetín-subido cl.c(Bl):pierna
down below is the frog surprised to see them	MIRAR
and the dog (sleeps) at the foot of the bed	PERRO B:ACOSTARSE cl.e(2d):PERRO-sobre-cama cl.e(Bh):CAMA
And works quite a bit.	ARREGLAR SECCIÓN- B:ARREGLAR BASTANTE B:ARREGLAR ARREGLAR
he returned again	INDX B:cl.m(5d):agarrar-rana OTRA-VEZ VOLVER
leans against the tree	ÁRBOL cl.e(2b):PERSONA-apoyarse-árbol cl.e(5):ÁRBOL
(The man is annoyed but continues) plucking the pears.	G cl.m(5d):coger+guardar-fruta cl.e(5d):delantal
focused on work.	MENTE^CONCENTRAR TRABAJAR G(B):vale B:TRABAJAR
everything was back in place in the basket.	LISTO G:todo-preparado CESTO
Years passed and	TRANSCURRIR
"The knee hurts" (he says).	DOLOR INDX G:tocarse-rodilla
Hmm...	B:cl.e(2d):PERSONA-sentada PERRO cl.e(2d):PERSONA-sentada-con+perro cl.e(Hd):PERRO-sentado-con+persona
and they began to walk	CAMINAR(MP)
and flee.	cl.e(2):PERSONAS2-alejarse-suelo cl.e(Bh):SUELO
She looked in all directions;	MIRAR
They also called out to it (where could it be?)	MISMO B:G:interrogativo LLAMAR B:G:interrogativo G:interrogativo
The weather was hot like in the summer.	CLIMA BUENO IGUAL VERANO B:IGUAL ES.ASÍ
The seven sons of Kuma [began] looking for her and	HIJO SIETE SN:KUMA BUSCAR(2Msu)
You (built) yours too fast - the two brothers-	MOTIVO INDX LOS-DOS HERMANO RÁPIDO
and the jar breaks	DESAPARECER
The man continued picking pears and upon finishing	cl.m(A&amp;gt;5):coger+guardar-fruta B:cl.e(B):SACO LISTO(1M) B:cl.e(B):SACO
The dog walks at their side	cl.e(2b):PERSONA-caer+de-ciervo cl.e(Hd):CIERVO-arrodillado CAMINO AGUA B:CAMINO cl.e(2b):PERSONA-caer-charco cl.e(Xa):CHARCO
(was) picking [pears]	COGER(2Msu)
Come."	VENIR2
And the child	MIRAR SN:niño
Lights a fire.	cl.m(Xc):colocar-olla SABER COCINAR
and bring (your) house down".	cl.e:CASA-desintegrarse
A person... No sorry.	UNO PERSONA PERDÓN
(and saw that) they had pears.	HABER cl.m(B):llevar-peras PERA
because the wolf has blown" (them said the pig nervously).	PORQUE LOBO SOPLAR(2M)
(to the point where) the footprints disappeared.	cl.c(I):PIE-pisar DESAPARECER
The child continues the search	HOMBRE SN:niño BUSCAR(2Msu)
(and) gave them to the children.	DAR
The (brother): Relax	INDX TRANQUILO
She felt comforted	SENTIR CONTENTO
The pig watches in desperation	CERDO cl.m(5):vibrar-ventana
coming out of the hive	cl.e(C):FRASCO
and he peered over the top.	cl.e(2d):PERSONA-ascender+a-tronco cl.e(Bh):TRONCO
climbed back into the tree	AHORA OTRA-VEZ cl.e(2d):PERSONA-ascender+a-árbol cl.e(5):ÁRBOL
(There appears) a little blond boy wearing a hat and a scarf	HOMBRE PEQUEÑO2 RUBIO cl.d(Xa):sombrero PAÑOLETA
The wolf moves back.	LOBO cl.c(1):PATAS-retroceder
(a bit) strange.	RARO G
when the bike collided with a stone	PIEDRA cl.e(Xa):BICICLETA-chocar-piedra cl.e(5d):PIEDRA
(is) collecting pears.	G:hombre cl.m(5d):coger+guardar-fruta cl.m(5):agarrar-saco
(Arua gazed up at the moon amazed) "You are talking to me."	G:mirar-asombrado EXPLICAR
(The child) is astonished with this	MENTE-APAGADA INDX
One of the children the eldest approached Kuma	INDX HOMBRE hhh PRIMERO PRINCIPAL G:acercar-Kuma
"I will take care of you and my seven children	QUERER CUIDAR MÁS.SUMA INDX PROPIO(2M) SIETE NACER
and disappeared.	DESAPARECER(1M)
which looks at him in the eyes	MIRAR(MP) BOSQUE
A man with a hat	HOMBRE PERSONA SOMBRERO(Xc) B:SOMBRERO(Xc)
gets off the bike	BICICLETA cl.e(2d):PERSONA-descender+de-bicicleta cl.e(Bh):BICICLETA
A frog whose sign is this	RANA SIGNO SN:rana
chased by a swarm of bees	ROPA cl.m(5&amp;gt;Q):coger-prenda cl.m(Xc):examinar-prenda cl.m(Xc):agarrar-prenda
take a basket	cl.m(Xc):coger-cesta
It was with its partner	cl.e(1):RANA-con-rana PAREJA
It begins to descend	FÁCIL B:cl.e(C):CHIMENEA cl.e(2b):LOBO-descender+por-chimenea B:cl.e(C):CHIMENEA
Among the people living there	VIVIR PERSONA B
while on the go	cl.e(2d):PERRO-desplazarse+con-persona cl.e(1):PERSONA-desplazarse+con-perro
(Then) he sees branches arranged like a fan (opposite him)	MIRAR cl.d(Lc):rama-forma cl.e(4):RAMAS-fila
"I want to marry Arua"	QUERER LOS-DOS CASAR
picking (pears)	COGER(2Msu)
(The wolf) gets ready	AHORA MÁS-O-MENOS PREPARAR(1M)
(But) the frog has disappeared	PERRO- RANA DESAPARECER
and approaches leaping	MIRAR B:cl.e(C):frasco
meaning "star of the night"	SIGNIFICAR TÍTULO ESTRELLA NOCHE
(and) help him.	AYUDAR
"Complicated" (thought) the child which had fallen	cl.e(2d):PERSONA-caer-suelo cl.e(Bh):SUELO COMPLICADO
he looked at them attentively	MIRAR B:cl.e(B):TRONCO
climbed up	cl.e(2b):PERSONA-ascender+por-tronco cl.e(B):TRONCO
The boy has gone to bed	HOMBRE PEQUEÑO2 ACOSTARSE
The next day at sunrise	MAÑANA DÍA
The boy looks surprised at the frog which in turn looks at him.	CIERVO
(The wolf) takes a (deep) breath	RESPIRAR- DOBLE cl.d(5&amp;gt;5d):aire-respirar
Pedalling (into the distance).	BICICLETA G:alejarse
"Yes yes" (answers the wolf convincingly.)	(CNM)
and said to him: "I want to marry Arua"	QUERER LOS-DOS CASAR
The dog [dog-ear] looked searched and rummaged everywhere	PERRO B:MENTE-APAGADA SN:PERRO B:MENTE-APAGADA MIRAR B:MENTE-APAGADA BUSCAR(2Msu) BUSCAR(2Msu) cl.e(1):PERRO-desplazarse BUSCAR(2Msu)
and to gallop with the boy on its head	PERRO B:cl.e(5):ÁRBOL cl.e(Hd):PERRO-aproximarse-árbol B:cl.e(5):ÁRBOL
He took the hat to the boy	cl.m(Q):agarrar-sombrero
"They gave the hat"	cl.m(Q):dar-sombrero SOMBRERO(Xc) G:narrador
sees a hole in a tree trunk	MIRAR cl.d(1):círculo-forma cl.e(B):CÍRCULO ÁRBOL cl.e(5):ÁRBOL cl.d(Oa):tronco
The dog also falls into the water	cl.e(Hd):PERRO-huir-abejas cl.e(Lc):ABEJAS-seguir-perro
one (is) waving (a tennis) [racquet]	cl.e(1):PERSONA cl.m(Xc):accionar-raqueta
and screams	GRITAR2 B:cl.m(A):agarrar-rama
The house is solid.	CASA PIEDRA
"I have found another solution	YA SOLUCIÓN HABER
The dog begins to walk towards the trunk	PIEDRA cl.e(5d):PIEDRA
supporting its feet on the trunk.	cl.m(Bd):apoyarse-en+tronco
Listen!	ESCUCHAR2 INDX
"Ah!"	G:¡ah! B:cl.m(Q):elevar-sombrero
(and looks at the baskets with) pears in front of him.	PERA4 INDX
and warns:	AVISAR
puts it in his apron pocket	cl.m(5d):guardar-fruta B:cl.e(C):SACO
"it hurts!" (he says)	DOLOR
They see something that makes them stop	MIRAR(2M)
End.	FIN
and blows.	SOPLAR(2M)
The frogs are on top of the trunk in a row from largest to the smallest	CIERVO cl.e(2b):PERSONA-sobre-cabeza+ciervo B:CIERVO
A child whose sign is this	INDX HOMBRE PERSONA SN:niño
The pig calls:	CERDO LLAMAR
The three pigs approach the window.	VENTANA cl.e(3):PERSONAS3-aproximarse B:VENTANA
(and) leaves	ALEJARSE
(Kuma) walked away	ALEJARSE
that is billowing smoke.	cl.d(5d):humo B:cl.e:CASA cl.e(5d):CHIMENEA B:cl.e:CASA
(but) the house (just) vibrates	cl.e:CASA-moverse
"Let's go."	cl.e(55):AVE-volar
(He makes sure that no one is looking).	B:cl.m(5d&amp;gt;5):echar-fruta
Picks the frog gently	cl.m(Qa):coger-rana cl.m(Bd):coger-rana
(continues) looking	MIRAR
I am going to narrate it.	AHORA EXPLICAR
The child (looks at the girl) open mouthed	HOMBRE BICICLETA
The boy had forgotten the hat	SOMBRERO(1M) B:cl.m(Q):coger-sombrero OLVIDAR B:cl.m(Q):coger-sombrero
(There is) a ladder up the tree.	cl.e(2d):ESCALERA-sobre-suelo cl.e(Bh):SUELO cl.e(5):ÁRBOL-sobre-suelo cl.e(Bh):SUELO
"Wait!"	ESPERAR2(2M)
the ball bounces.	cl.m(Xc):sostener-raqueta cl.e(O):PELOTA-botar
He then saw three young boys	CASUAL B:cl.c(1):PIERNA MIRAR B:cl.c(1):PIERNA TRES B:cl.c(1):PIERNA JOVEN B:cl.c(1):PIERNA TRES B:cl.c(1):PIERNA
"(is coming) from that fallen tree"	ÁRBOL cl.e(5):ÁRBOL-caer ESCUCHAR(2) INDX
and frightens (the boy).	ASUSTAR
The first loves to play	INDX:primero B.L(1) ENCANTAR JUGAR(CT)
into the distance.	cl.e(1):TRAIECTORIA-desplazarse
The (girl’s) bike was approaching.	cl.e(Xa):BICICLETA-desplazarse B:ALTURA-SEMEJANTE
approaches the boy	cl.e(55):AVE-volar
"Wait wait."	ESPERAR2(2M)
Another (person) a boy	OTRO xxx HOMBRE PEQUEÑO2
another enters the wooden house	OTRO CASA MADERA DENTRO
The boy opened the window	VENTANA cl.e(L):VENTANA-ascender cl.m(A):subir-ventana
"Not there"	NO
The wolf is at the mouth of the chimney	cl.e(2d):PERSONA-entrar-chimenea cl.e(C):CHIMENEA
The seven brothers stood before Kuma	EXPLICAR- ALGUNO.PERSONA SIETE cl.e(2):PERSONAS7-aproximarse cl.e(5):PERSONAS7-aproximarse
and the boy was still trying to manage his bike	cl.m(A):agarrar-manillar
(and wants) to peep inside	MIRAR
the ball bounces back and forth;	cl.m(Xc):sostener-raqueta cl.e(O):PELOTA-botar
and is happy.	CONTENTO
Well almost finished" (says the third pig).	CASI cl.e:CASA LISTO
"No (I don’t think so" says) the pig.	CERDO (CNM)
They look at each other	MIRAR(2M)
The scene of this story is a grove with pears	SITUACIÓN INDX BOSQUE(M-AD) MÁS.SUMA PERA4(Xc)
(but) [Arua] (stayed) silent	SILENCIO
Hmm...	cl.e(5d):FRASCO-descender
illuminated by the light of the moon.	LUZ cl.e(Cc&amp;gt;5d):FLOR-abrirse
distributed the pears between them.	REPARTIR
left her on mount.	ARROJAR MONTAÑA
and it has (only) been shaken" (thought the wolf).	cl.e:CASA-moverse
Arua: "Wait"	SN:ARÚA G:pensárselo ESPERAR2(2M)
and said goodbye.	DECIR B:DAR(2M) SALUDO B:DAR(2M)
It approaches (the house)	cl.c(1):PATAS-andar
The boy fell backwards.	cl.e(2d):PERSONA-caer+de-tronco cl.e(Bh):TRONCO cl.e(2b):PERSONA-caer-suelo cl.e(Bh):SUELO
He sees a large stone	PIEDRA cl.d(C):piedra-forma B:cl.d(C):piedra-forma MIRAR
The boy climbed on the bike	cl.e(2b):PERSONA-ascender+a-bicicleta cl.e(Bl):BICICLETA
The deer puzzled with the stowaway starts to move its head	MIRAR B:cl.e(5):ÁRBOL
and their children	HIJO HOMBRE PEQUEÑO2(2M) G(5)(2M):evidencia
stunned the pig flees	G(5):desesperación cl.e(2b):PERSONA-sobre-suelo cl.e(Bh):SUELO cl.e(A&amp;gt;5):POLVAREDA-alejarse-suelo B:cl.e(Bh):SUELO
(and) helped him.	AYUDAR INDX
to finish the house quickly.	PORQUE RÁPIDO INSTANTE CASA(M-AB) YA B:CASA(M-AB)
The dog and the boy are walking.	cl.e(2d):PERRO-desplazarse+con-persona cl.e(1):PERSONA-desplazarse+con-perro
It is working (fast)	ARREGLAR
(The boy) continues cycling	cl.e(Xa):BICICLETA-desplazarse
to search here	CAMA ACOSTARSE
When in the water (he said) "What a fright!"	AGUA B:cl.d(5h):onda-acuática cl.d(5):agua-superficie ASUSTAR B:cl.d(5):agua-superficie G:alivio B:cl.d(5):agua-superficie
The deer starts running	cl.d(5):cuernos-tamaño cl.c(A):patas-correr
He assigned Arua	DL:ARUA DAR(2M)
The owl flies over him	cl.e(C):FRASCO-en-cabeza
Another pig the second one is also working (on a house) a wooden house.	OTRO CERDO B.L(2) INDX:segundo TAMBIÉN ARREGLAR CÓMO MADERA
The mass of air impinges on the house.	cl.d(5):aire-contra-casa
The child (was in) his room	HABITACIÓN SU SN:NIÑO
wasps swarm out	cl.e(Lc):avispas-desplazarse cl.d(Lc):avispas-desplazarse
They continued walking.	cl.e(3):PERSONAS3-desplazarse CONTINUAR
She felt a pain in her heart.	SENTIR CORAZÓN.FORMA DOLOR B APUÑALAR G
walks (towards the boy with the racquet).	cl.e(2b):PERSONA-aproximarse
up in the tree.	INDX PERA4(Xc)- ÁRBOL
It is solid.	DURO B:cl.e:CASA
The boy moves away from the [owl’s] nest	INDX SN:niño cl.e(2d):PERSONA-alejarse-suelo cl.e(Bh):SUELO
(and continues) picking pears from the tree	ÁRBOL cl.m(5d&amp;gt;5):coger+guardar-fruta cl.m(5):agarrar-saco
(Kuma was) thoughtful.	G PENSAR(2Msu)
They are searching.	MIRAR
he uprights the bike	cl.e(Xa):BICICLETA-levantarse-cesta+referencia cl.e(Xa):CESTA
that is open	cl.e(B):VENTANA-ascender cl.e(Bh):VENTANA
The dog runs toward the tree	BUSCAR(2Msu)
End.	HOMBRE DOS VERDAD
She looked around	MIRAR
As she walked	CAMINAR(MP)
and the two (pigs) the same ones as before which were playing hear (the noise).	DOS MISMO LO-DE-ANTES DOS JUGAR(CT) ESCUCHAR(2M)
calling out to the frog.	GRITAR2 B:CAMINAR(MP)
the children help him to	INDX HOMBRE AYUDAR
thinking all along.	PENSAR(2Msu)
(and wonders whether to)	B:MIRAR
(and one can see) the sun set	ANOCHECER
and he had left fleeing	VOLAR
moves into the distance.	cl.e(2d):ANIMAL-alejarse-madriguera cl.e(B):MADRIGUERA G(5):allá-va
Let’s make a deal let her decide	INDX BIEN DIRECTOR ESCOGER
Arua was obedient good-hearted and very pretty.	INDX MUJER SN:ARÚA YA G OBEDECER BUENO.CORAZÓN BONITO^MARAVILLA G
In front of them is a wood	cl.d(5d):frasco cl.m(C):examinar-frasco
"to hell I prefer a basket."	A-POR-TODAS B:cl.m(5d):coger-fruta UNO B:cl.m(5d):coger-fruta CESTO QUERER B:CESTO INDX B:CESTO
"Are you sure?" (asked) the brother.	INDX HERMANO ES.SEGURO(1M)
(The wolf) comes nearer (quietly)	cl.c(1):PATAS-andar
and fell into the water.	AGUA B:cl.e(2d):PERRO-caer-con+persona cl.e(2d):PERSONA-caer-con+perro cl.e(2d):PERRO-caer-con+persona cl.d(A&amp;gt;5):onda-acuática cl.d(5h):onda-acuática
breathes (deeply)	RESPIRAR
into the distance.	cl.e(2b):PERSONA-ascender+a-bicicleta cl.e(1):BICICLETA G
attached to the racquet by a rope	B:cl.m(Xc):sostener-raqueta CUERDA
He looks up	MIRAR
Night approached	YA NOCHE
They escape each running away on its own	DOS B:ALEJARSE(2Msu) ALEJARSE(2M)
and moves towards the hive	BUSCAR(2Msu)
into the water	AGUA cl.d(5):agua-ascender
Looks on one side...	MIRAR
I will defend you from the animals from the tiger.	INDX ANIMAL2 TIGRE G:animal-atacar INDX.PRO:2sg DEFENDER
Calm down this  house is impossible (to break)	TRANQUILO INDX IMPOSIBLE(M-RE)
It is night	NOCHE
One frog climbs into his hand	cl.e(2b):PERSONA-sobre-ciervo cl.e(Hd):CIERVO-correr
stretched its legs to get out	cl.c(X):PATAS-andar
The three children were walking two continued (and)	B:cl.e(3):PERSONAS3 B:cl.e(3):PERSONAS3 INDX CAMINAR cl.e(2):PERSONAS2-alejarse INDX
the wooden house	OBJETIVO IR MADERA CASA
The flower containing Arua closed	cl.e(5d&amp;gt;Cc):FLOR-cerrarse-persona cl.e(1):PERSONA
and he was annoyed	INDX B G(1):fastidio B
And then... [The first man] is still up	ENTONCES(1M) ENTONCES xxx INDX CONTINUAR
(and) disappeared	ALEJARSE
and from inside came out a smelly rodent.	RATÓN B:cl.e(C):MADRIGUERA G:repugnancia B:cl.e(C):MADRIGUERA OLER^MAL-OLOR B:cl.e(C):MADRIGUERA INDX B:cl.e(C):MADRIGUERA RATÓN B:cl.e(C):MADRIGUERA
The man kept (at his task which is what) saved the child (who) disappeared into the distance	HOMBRE PERSONA CONTINUAR SALVAR ALEJARSE
He continued pedalling with difficulty and continued on his way.	BICICLETA cl.e(Xa):BICICLETA-alejarse-suelo cl.e(Bh):SUELO
and blows (the air) out	cl.d(5):pecho-deshinchar
spellbound	cl.e(Xa):BICICLETA-desplazarse
I give you other solution."	DAR(L)(2M) OTRO SOLUCIÓN
It was a dangerous flower.	VER^DEBER FLOR
You are cold blooded. [?]	HIELO G:¡venga!
(and after) filling its chest (with air)	cl.d(5d):pecho-hinchar
Later another brother also said he’d want to marry her:	OTRO HERMANO DESPUÉS PEDIR(1M) TAMBIÉN
The dog barked	PERRO B:cl.m(A):agarrar-cuernos LADRAR(MP)
pears.	cl.e(5d):peras-caer+individual
the bed is behind them	CAMA cl.e:CAMA-localización
and the third in the one built with bricks enters (also at home).	OTRO CONSTRUIR LISTO AHORA DENTRO
and get completely wet.	cl.d(A&amp;gt;5):agua-descender
and next to it their progeny in a row	cl.e(2b):PERSONA-caer-ciervo
(falling from the top)	MIRAR
(and had seen) him falling from the bike.	cl.e(Xa):BICICLETA-caer+de-suelo cl.e(Bh):SUELO
cycling the heavy bike with difficulty	BICICLETA FUERTE cl.m(A):agarrar-manillar
(and from there) looks	MIRAR B:cl.m(A):agarrar-rama
The petals opened more and more	cl.e(C&amp;gt;5d):FLOR-abrirse cl.d(L&amp;gt;Lc):pétalos-forma cl.e(C&amp;gt;5d):FLOR-abrirse cl.e(5d):FLOR-ascender
at the flower containing Arua.	cl.e(5d&amp;gt;Cc):FLOR-cerrarse-persona cl.e(1):PERSONA
and left.	ALEJARSE B:cl.m(5d):agarrar-fruta
"(My) children want to ((?))" he said to himself concerned.	HIJO QUERER INDX.PRO:3pl G:pensar-con-preocupación
When the three boys approached	cl.e(3):PERSONAS3-aproximarse B:cl.e(B):TRONCO
(The boy) falls.	cl.e(2d):PERSONA-caer+de-suelo cl.e(Bh):SUELO cl.e(2d):PERSONA-caer-ciervo cl.e(Bh):CIERVO
"Quiet" he shouts to the dog	cl.e(Hd):PERRO-huir-abejas cl.e(Lc):INSECTOS-seguir-perro
The boy (who was) looking for (the frog) and calling (the frog) felt a (big) rumble.	BUSCAR B:cl.e(B):VENTANA GRITAR2 B:cl.e(B):VENTANA SONIDO B:cl.e(B):VENTANA
The two (pigs) enter (the third house).	LOS-DOS DENTRO
It is hard cycling a bike around bends.	cl.m(A):agarrar-manillar G:dubitación COSTAR cl.m(A):agarrar-manillar
It is a strong house" (thought the wolf).	CASA(M-AB) DURO2
It walks (tracking the area).	cl.c(1):PATAS-andar
and so did Arua.	SN:ARÚA cl.e(1):PERSONA-aproximarse
(and after) filling its lungs (with air)	cl.d:pecho-hinchar
You brought her up	CUIDAR
He looked up the tree	MIRAR B:BICICLETA ÁRBOL MIRAR B:ÁRBOL
The owl flies away	MIRAR(MP)
but could hardly manage to ride the bike	cl.m(A):agarrar-manillar COSTAR B:cl.m(A):agarrar-manillar cl.m(A):agarrar-manillar
Look through the window	CARA B:TRANQUILO TRANQUILO MIRAR G:esperar
The girl was cycling gracefully.	MUJER BICICLETA
A tiger was approaching	ANIMAL2 TIGRE cl.c(5d):garras-andar
What a melancholy! How painful!".	DEPRESIÓN DOLOR G:prosódico
picking the pears.	cl.m(5d&amp;gt;5):coger+guardar-fruta cl.e(B):SACO
he listened.	ESCUCHAR B
The boy	cl.m(5):apoyarse-en+tronco
and the boy runs away	VENTANA B:VENTANA cl.e(2d):PERRO-asomado PERRO B:cl.e(2d):PERRO-asomado cl.e(C):FRASCO-en-cabeza
The house is shaken.	cl.e:CASA-moverse
and leaves the fruit in a basket.	cl.d(5d):cesta cl.d(5):cesta ARROJAR B:cl.d(5):cesta
He rises	cl.e(2b):PERSONA-levantarse-suelo cl.e(B):SUELO
Not as bad as the death of your children	INDX.PRO MORIR(2Msu) IGUAL2 HIJO NO
The boy looks out the window	cl.e(2d):RANA-ascender+a-frasco B:cl.e(C):FRASCO
How (does) he (work)?	PERSONA CÓMO cl.c(X):PIERNA
and runs to	cl.c(1):PATAS-correr
Where could it be?	BUSCAR(2Msu) G:interrogativo G:interrogativo
to smell it	OLER2 B:cl.e(B):FRASCO
and returns home happily.	VOLVER CASA FELIZ
The boy picked his frog in his hand	INDX B:cl.m(5):apoyarse-en+tronco cl.m(5d):coger-rana INDX B:cl.m(5d):coger-rana cl.m(5d):coger-rana
I will huff 'n puff with ease	FÁCIL LOBO SOPLAR
All present there said: "Okay	INDX.PRO:1pl G:pensar ACUERDO
containing pears (that the man had emptied) from the sack	cl.d(5d):saco-del-regazo AHORA HABER PERA cl.d(5d):cestas-llenas-de-peras
pursued by the swarm	PERRO B:MIRAR(MP) cl.e(C):FRASCO-en-cabeza
on the way he comes across a rock.	cl.d(A&amp;gt;5):frasco-estallar
Surprising.	G:sorpresa MENTE-APAGADA(1M)
He sees a hat on the floor.	MIRAR SOMBRERO(Xc) cl.e(Xa):sombrero-tirado
at full speed	cl.m(A):agarrar-cuernos
I have worked for very long on this house	INDX.PRO:1sg TRABAJAR HORA CONSTRUIR
the fat one wearing a hat and scarf	GORDO SOMBRERO PAÑOLETA
One can hardly (pull down) a wooden house	MADERA DIFÍCIL
The sun has risen	YA AMANECER SOL
with a wide smile	cl.e(2b):PERSONA-sobre-ciervo cl.e(Hd):CIERVO-correr
The dog which was playing with the hive	PERRO VER cl.m(5d):tocar-colmena
(and) leaves.	ALEJARSE
puts the basket on the handlebar.	cl.m(A):colocar-cesta
He felt a roar	SONIDO(2M)
Until he	HASTA COGER(2Msu)
The second also (likes) playing	INDX:segundo B.L(2) TAMBIÉN B.L(2) JUGAR
He climbs down the tree	cl.e(2d):PERSONA-descender+de-localización cl.e(Bh):LOCALIZACIÓN
The (boy with the racket) gives him the hat	INDX cl.m(Q):dar-sombrero
breathes twice	RESPIRAR DOBLE
The man (is) working up (in the tree)	HOMBRE TRABAJAR INDX
and goes down the chimney	LOBO MENTE^NORMAL
The three children passed by.	cl.e(3):PERSONAS3-desplazarse
There is a glass window in front	VENTANA MIRAR cl.d(4):ventana-forma
The bike was ready to move	BICICLETA LISTO
He grabs the branches	cl.m(5&amp;gt;A):agarrar-rama
"to that tree trunk"	G.ADA
It is prepared	PREPARAR
(The boy) distributed the pears.	cl.m(Cc):dar-peras G
While the boy cycled into the distance.	cl.e(3):PERSONAS3-alejarse-bicicleta cl.e(Xa):BICICLETA-alejarse-personas3
(Arua) looked at the moon.	G:Arúa MIRAR
Right?	(CNM)
The glass jar was empty:	cl.d(C):frasco CRISTAL DESAPARECER
"Look at him!" (they thought)	MIRA-TÚ
It was a deer	CIERVO cl.d(5):cuernos-tamaño
(thinking): "I will now go down easily through here".	cl.e(2d):PERSONA-ascender+a-tejado cl.e(B):TEJADO
The two (terrified) pigs look out the window.	VENTANA LOS-DOS CERDO cl.m(5):apoyarse-ventana
(The child goes to) see (the frog)	MIRAR
The two begin to explore the place	cl.e(2d):PERRO-descender+de-cama B:cl.e(Bh):CAMA PERRO B:cl.e(Bh):CAMA cl.e(2d):PERRO-descender+de-cama B:cl.e(Bh):CAMA cl.e(2d):PERRO-con+persona cl.e(2d):PERSONA-con+perro
and flees the place	cl.e(1):PERRO-alejarse-localización cl.e(Bh):LOCALIZACIÓN
(Well) he climbs up the ladder	cl.c(X):PIERNAs-ascender+por
by chance the wolf hears them.	CASUAL LOBO ESCUCHAR
three baskets there.	INDX TRES CESTO
The man was confused.	HOMBRE COMPLICADO
The butterflies rose in the air flying	cl.e(55):MARIPOSA-ascender
The girl cycled into the distance.	MUJER ALEJARSE
It was a spade type racket with a ball tied to it that bounced back and forth.	cl.d(1):raqueta cl.m(Xc):raqueta VER cl.e(Cc):PELOTA-botar cl.m(Xc):accionar-raqueta
when the deer stops suddenly	cl.c(B):patas-frenar
(They) help(ed him).	AYUDAR
to a perch on a tree branch	B:MIRAR(MP)
and disappeared into the distance.	DESAPARECER
Then he took the basket picked it up and placed it (on the handlebar)	G:se-dispone-a-agarrar-cesta AHORA MISMO INDX cl.m(5d):colocar-cesta cl.m(Xc):colocar-cesta
It is not there	NO
and exits fleeing	cl.m(Q):levantar-objeto
(and the boy) thanked them	GRACIAS INDX(B)
with wasps swirling around	cl.e(Lc):AVISPAS-volar VOLAR cl.e(Lc):AVISPAS-volar
What is it?	CUÁL
and blows.	SOPLAR
he climbed on the bike	cl.e(2b):PERSONA-ascender+a-bicicleta B:cl.e(Bl):BICICLETA
and found a girl	MIRAR INDX.PRO:3sg MUJER PEQUEÑO2
Let me explain	INDX.PRO:1sg EXPLICAR
down	cl.e:CASA-desintegrarse
The boy climbs on the bike	BICICLETA cl.e(2b):PERSONA-ascender+a-bicicleta cl.e(1):BICICLETA
The child is looking for it	SN:niño BUSCAR(2Msu) DÓNDE
They began putting the pears back into the (basket) [that had fallen to the ground]	LO-DE-ANTES cl.m(A&amp;gt;5d):arrojar-peras cl.e(5):CESTO
(Under the tree) there was a line of three baskets	CESTO TRES B:CESTO CESTO TRES B:CESTO
It is sniffing the jar	cl.e(2d):PERRO+FRASCO-desplazarse cl.e(B):PERRO+FRASCO-desplazarse
She had felt the presence [of something]	SENTIR HABER
and wrapped around her completely.	cl.d(5):flor-cubrir-Arúa
(Pig) enters.	DENTRO YA
(The wizard looked at him) "You...".	G:pausa INDX.PRO:2sg G:pensar
He went home.	IR CASA(M-AB) G:prosódico
and it licked his face	cl.c(B):LENGUA-lamer B:cl.m(Bd):coger-perro
to (make the house) safe.	MOTIVO ES.SEGURO
The dog runs in terror	PERRO cl.c(B):patas-correr SN:perro cl.c(B):patas-correr
On the roof is a chimney	CASA cl.d(B):chimenea-sobre-casa cl.e:CASA HABER B:cl.e:CASA
How beautiful!	BONITO B:CASA
He looked down	MIRAR B:ÁRBOL
sees a burrow (on the ground)	MIRAR cl.d(1):madriguera-forma cl.e(C):MADRIGUERA
(until) its lungs are full (of air)	cl.d(5):pecho-hinchar
and shadows covered her.	SOMBRA
That is why (your homes are) weak.	MOTIVO DÉBIL
[Applause]	INDX G:asomarse MIRAR
(The wolf has) an idea	MENTE
(Kuma) reflected on the words.	G:extrañeza PENSAR(2Msu)
He had a beard and was wearing a wide-brimmed hat	cl.d(Qa):sombrero-ala-ancha cl.d(5d):barba-forma
and (the boy) left.	ALEJARSE
Looks from one side to another	cl.m(Bd):sostener-perro ACARICIAR
All were arguing	DISCUTIR
thinking of the frog	MENTE^OBJETIVO RANA
I have blown	SOPLAR
They will eat her	COMER2
blows.	SOPLAR(2M)
The house is shaken.	cl.e:CASA-moverse
and the third is serious	INDX:tercero B.L(3) UNO B.L(3) TRISTE B.L(3)
It breathes in once more	OTRA-VEZ RESPIRAR
The child searched for the frog from there.	cl.e(2d):PERSONA-asomarse B:cl.m(Bd):apoyarse-en+tronco
Both bikes crossed.	cl.e(Xa):BICICLETA-aproximarse-bicicleta
"Beautiful."	G:niño-observa cl.m(5):apoyarse-en+tronco BONITO B:cl.m(5):apoyarse-en+tronco
It sees them	INDX.PRO:1sg B:cl.c(1):PATAS-andar MIRAR B:cl.c(1):PATAS-andar
wondering what they could do.	G:ayudaremos
The seven kids left.	ALEJARSE(2Msu)
There is no movement inside the house	MISMO B:cl.e:CASA INDX B:cl.e:CASA cl.e:CASA-moverse NINGUNO
called Kuma	NOMBRE DL:KUMA
and looks at the knee.	MIRAR XXX
The (blond boy sees the hat)	BICICLETA B:BICICLETA
